,date,temp,dew_pt,hum,wind_spd,wind_gust,dir,vis,pressure,wind_chill,heat_index,precip,precip_rate,precip_total,cond,fog,rain,snow,hail,thunder,tornado
1,01-01-2018 02:30,69,64,80,2.3,NA,NNW,1,29.87,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
2,01-01-2018 05:30,68,65,87,4.6,NA,NNW,1,29.84,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
3,01-01-2018 08:30,71,64,71,6.9,NA,NW,1,29.92,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
4,01-01-2018 11:30,79,69,64,4.6,NA,East,2,29.89,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
5,01-01-2018 14:30,79,64,51,6.9,NA,ENE,2,29.82,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0
6,01-01-2018 17:30,76,67,65,6.9,NA,NE,2,29.81,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0
7,01-01-2018 20:30,74,65,65,4.6,NA,NE,2,29.87,NA,NA,NA,NA,NA,Scattered Clouds,0,0,0,0,0,0
8,01-01-2018 23:30,71,64,71,4.6,NA,NW,2,29.87,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
9,02-01-2018 02:30,69,61,69,4.6,NA,NW,1,29.84,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
10,02-01-2018 05:30,62,60,90,4.6,NA,NW,1,29.83,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
11,02-01-2018 08:30,66,61,79,5.8,NA,North,1,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
12,02-01-2018 11:30,79,63,49,3.5,NA,ENE,2,29.9,NA,NA,NA,NA,NA,,0,0,0,0,0,0
13,02-01-2018 14:30,82,62,40,4.6,NA,ENE,2,29.82,NA,NA,NA,NA,NA,,0,0,0,0,0,0
14,02-01-2018 17:30,76,65,61,3.5,NA,ENE,2,29.81,NA,NA,NA,NA,NA,,0,0,0,0,0,0
15,02-01-2018 20:30,72,65,74,2.3,NA,NNW,2,29.92,NA,NA,NA,NA,NA,,0,0,0,0,0,0
16,02-01-2018 23:30,67,63,83,4.6,NA,NE,2,29.91,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
17,03-01-2018 02:30,64,61,88,2.3,NA,NW,1,29.88,NA,NA,NA,NA,NA,Haze,0,0,0,0,0,0
